NRep,Profile,TimeVariability(factor1),TaskDistribution(factor2),Policy(factor3),TotalDelayT,TotalDelayS,maxDelayResource,TotalCapacity
1,P,0,0,0,2238,2287,51.72,112
1,P,0,0,1,60,655,1.91,180
1,P,0,1,0,2116,2212,47.42,108
1,P,0,1,1,72,677,2.04,167
1,P,1,1,0,2360,2408,56.78,122
1,P,1,1,1,139,855,1.76,179
1,P,1,0,0,2430,2477,60.56,118
1,P,1,0,1,138,859,1.88,193
2,P,0,0,0,2241,2295,41.65,112
2,P,0,0,1,55,648,1.74,172
2,P,0,1,0,2136,2234,50.15,108
2,P,0,1,1,71,664,1.61,166
2,P,1,1,0,2351,2406,59.63,122
2,P,1,1,1,126,849,1.74,193
2,P,1,0,0,2439,2494,61.45,118
2,P,1,0,1,131,841,2.09,190
3,P,0,0,0,2253,2290,52.05,112
3,P,0,0,1,53,646,1.3,183
3,P,0,1,0,2151,2245,51.93,108
3,P,0,1,1,67,673,1.88,167
3,P,1,1,0,2342,2388,56.92,122
3,P,1,1,1,142,864,2.0,179
3,P,1,0,0,2388,2438,63.21,118
3,P,1,0,1,140,863,2.27,185
4,P,0,0,0,2246,2286,44.77,112
4,P,0,0,1,65,667,1.81,172
4,P,0,1,0,2099,2198,49.91,108
4,P,0,1,1,67,657,2.04,166
4,P,1,1,0,2434,2464,55.29,122
4,P,1,1,1,131,852,1.68,188
4,P,1,0,0,2417,2471,61.68,118
4,P,1,0,1,127,842,1.52,193
5,P,0,0,0,2250,2307,53.97,112
5,P,0,0,1,59,665,2.08,172
5,P,0,1,0,2118,2216,50.39,108
5,P,0,1,1,74,665,1.96,166
5,P,1,1,0,2397,2437,56.24,122
5,P,1,1,1,127,837,1.75,194
5,P,1,0,0,2384,2435,57.64,118
5,P,1,0,1,125,838,2.18,191
1,F,0,0,0,1918,1953,25.66,92
1,F,0,0,1,59,770,1.27,133
1,F,0,1,0,2301,2371,48.46,98
1,F,0,1,1,67,783,1.43,132
1,F,1,1,0,2251,2341,52.78,107
1,F,1,1,1,125,954,1.68,152
1,F,1,0,0,2144,2202,32.16,98
1,F,1,0,1,116,941,1.96,142
