idOperation,operationName,operationDuration,successors,resourceType,SP,requiredResourceUnits,consumption,idTurnaround,SIBT/TIBT,SOBT/TOBT,idStand
1,deboarding,9,"3,4,5",0,3,0,0,1,5,34,260
2,unloading baggage,10,6,1,3,1,0,1,5,34,260
3,cleaning cabin,13,7,2,5,1,0,1,5,34,260
4,catering,11,7,3,4,1,30,1,5,34,260
5,fuelling,8,7,4,5,1,30,1,5,34,260
6,loading baggage,12,8,1,3,1,0,1,5,34,260
7,boarding,11,8,0,3,0,0,1,5,34,260
8,push-back,4,,7,3,1,0,1,5,34,260
9,deboarding,7,"11,12,13",0,1,0,0,2,5,33,94
10,unloading baggage,8,14,1,1,1,0,2,5,33,94
11,cleaning cabin,8,15,2,4,1,0,2,5,33,94
12,catering,7,15,3,3,1,20,2,5,33,94
13,fuelling,9,15,4,4,1,30,2,5,33,94
14,loading baggage,10,16,1,1,1,0,2,5,33,94
15,boarding,9,16,0,1,0,0,2,5,33,94
16,push-back,4,,7,2,1,0,2,5,33,94
17,deboarding,6,"19,20,21",0,4,0,0,3,5,33,6
18,unloading baggage,8,22,1,4,1,0,3,5,33,6
19,cleaning cabin,8,23,2,1,1,0,3,5,33,6
20,catering,8,23,3,5,1,30,3,5,33,6
21,fuelling,7,23,4,4,1,30,3,5,33,6
22,loading baggage,9,24,1,4,1,0,3,5,33,6
23,boarding,8,24,0,4,0,0,3,5,33,6
24,push-back,4,,7,4,1,0,3,5,33,6
25,deboarding,7,"27,28,29",0,3,0,0,4,10,38,196
26,unloading baggage,8,30,1,3,1,0,4,10,38,196
27,cleaning cabin,9,31,2,5,1,0,4,10,38,196
28,catering,9,31,3,1,1,30,4,10,38,196
29,fuelling,9,31,4,1,1,30,4,10,38,196
30,loading baggage,9,32,1,3,1,0,4,10,38,196
31,boarding,8,32,0,3,0,0,4,10,38,196
32,push-back,4,,7,4,1,0,4,10,38,196
33,deboarding,7,"35,36,37",0,5,0,0,5,10,36,3
34,unloading baggage,21,40,1,5,1,0,5,10,36,3
35,cleaning cabin,19,41,2,1,1,0,5,10,36,3
36,catering,20,41,3,1,1,70,5,10,36,3
37,fuelling,13,41,4,5,1,80,5,10,36,3
38,change water,3,42,5,3,1,20,5,10,36,3
39,toilet services,13,42,6,2,1,30,5,10,36,3
40,loading baggage,13,42,1,5,1,0,5,10,36,3
41,boarding,25,42,0,5,0,0,5,10,36,3
42,push-back,4,,7,3,1,0,5,10,36,3
43,deboarding,7,"45,46,47",0,2,0,0,6,15,43,92
44,unloading baggage,8,48,1,2,1,0,6,15,43,92
45,cleaning cabin,7,49,2,3,1,0,6,15,43,92
46,catering,8,49,3,2,1,30,6,15,43,92
47,fuelling,7,49,4,2,1,30,6,15,43,92
48,loading baggage,10,50,1,2,1,0,6,15,43,92
49,boarding,7,50,0,2,0,0,6,15,43,92
50,push-back,4,,7,3,1,0,6,15,43,92
51,deboarding,6,"53,54,55",0,3,0,0,7,15,41,164
52,unloading baggage,22,58,1,3,1,0,7,15,41,164
53,cleaning cabin,14,59,2,2,1,0,7,15,41,164
54,catering,23,59,3,1,1,70,7,15,41,164
55,fuelling,19,59,4,5,1,90,7,15,41,164
56,change water,3,60,5,1,1,20,7,15,41,164
57,toilet services,13,60,6,3,1,30,7,15,41,164
58,loading baggage,18,60,1,3,1,0,7,15,41,164
59,boarding,24,60,0,3,0,0,7,15,41,164
60,push-back,4,,7,2,1,0,7,15,41,164
61,deboarding,7,"63,64,65",0,4,0,0,8,20,48,81
62,unloading baggage,8,66,1,4,1,0,8,20,48,81
63,cleaning cabin,8,67,2,2,1,0,8,20,48,81
64,catering,9,67,3,4,1,30,8,20,48,81
65,fuelling,8,67,4,3,1,30,8,20,48,81
66,loading baggage,9,68,1,4,1,0,8,20,48,81
67,boarding,9,68,0,4,0,0,8,20,48,81
68,push-back,4,,7,1,1,0,8,20,48,81
69,deboarding,6,"71,72,73",0,1,0,0,9,20,48,151
70,unloading baggage,7,74,1,1,1,0,9,20,48,151
71,cleaning cabin,8,75,2,3,1,0,9,20,48,151
72,catering,7,75,3,3,1,20,9,20,48,151
73,fuelling,8,75,4,1,1,30,9,20,48,151
74,loading baggage,10,76,1,1,1,0,9,20,48,151
75,boarding,8,76,0,1,0,0,9,20,48,151
76,push-back,4,,7,5,1,0,9,20,48,151
77,deboarding,7,"79,80,81",0,2,0,0,10,25,53,47
78,unloading baggage,7,82,1,2,1,0,10,25,53,47
79,cleaning cabin,8,83,2,4,1,0,10,25,53,47
80,catering,9,83,3,5,1,30,10,25,53,47
81,fuelling,9,83,4,5,1,30,10,25,53,47
82,loading baggage,9,84,1,2,1,0,10,25,53,47
83,boarding,7,84,0,2,0,0,10,25,53,47
84,push-back,4,,7,3,1,0,10,25,53,47
85,deboarding,7,"87,88,89",0,3,0,0,11,25,53,17
86,unloading baggage,8,90,1,3,1,0,11,25,53,17
87,cleaning cabin,8,91,2,4,1,0,11,25,53,17
88,catering,7,91,3,5,1,20,11,25,53,17
89,fuelling,8,91,4,3,1,30,11,25,53,17
90,loading baggage,10,92,1,3,1,0,11,25,53,17
91,boarding,7,92,0,3,0,0,11,25,53,17
92,push-back,4,,7,4,1,0,11,25,53,17
93,deboarding,11,"95,96,97",0,2,0,0,12,30,82,90
94,unloading baggage,11,100,1,2,1,0,12,30,82,90
95,cleaning cabin,12,101,2,2,1,0,12,30,82,90
96,catering,20,101,3,2,1,60,12,30,82,90
97,fuelling,11,101,4,4,1,30,12,30,82,90
98,change water,8,102,5,4,1,40,12,30,82,90
99,toilet services,15,102,6,4,1,40,12,30,82,90
100,loading baggage,17,102,1,2,1,0,12,30,82,90
101,boarding,17,102,0,2,0,0,12,30,82,90
102,push-back,4,,7,5,1,0,12,30,82,90
103,deboarding,10,"105,106,107",0,4,0,0,13,30,56,241
104,unloading baggage,23,110,1,4,1,0,13,30,56,241
105,cleaning cabin,16,111,2,5,1,0,13,30,56,241
106,catering,20,111,3,1,1,70,13,30,56,241
107,fuelling,13,111,4,4,1,70,13,30,56,241
108,change water,11,112,5,5,1,80,13,30,56,241
109,toilet services,14,112,6,4,1,40,13,30,56,241
110,loading baggage,19,112,1,4,1,0,13,30,56,241
111,boarding,23,112,0,4,0,0,13,30,56,241
112,push-back,4,,7,2,1,0,13,30,56,241
113,deboarding,8,"115,116,117",0,1,0,0,14,30,59,39
114,unloading baggage,11,118,1,1,1,0,14,30,59,39
115,cleaning cabin,12,119,2,3,1,0,14,30,59,39
116,catering,13,119,3,4,1,30,14,30,59,39
117,fuelling,8,119,4,5,1,30,14,30,59,39
118,loading baggage,11,120,1,1,1,0,14,30,59,39
119,boarding,11,120,0,1,0,0,14,30,59,39
120,push-back,4,,7,3,1,0,14,30,59,39
121,deboarding,12,"123,124,125",0,5,0,0,15,30,56,203
122,unloading baggage,21,128,1,5,1,0,15,30,56,203
123,cleaning cabin,20,129,2,4,1,0,15,30,56,203
124,catering,16,129,3,3,1,50,15,30,56,203
125,fuelling,19,129,4,1,1,90,15,30,56,203
126,change water,10,130,5,4,1,80,15,30,56,203
127,toilet services,8,130,6,1,1,20,15,30,56,203
128,loading baggage,16,130,1,5,1,0,15,30,56,203
129,boarding,20,130,0,5,0,0,15,30,56,203
130,push-back,4,,7,2,1,0,15,30,56,203
131,deboarding,8,"133,134,135",0,4,0,0,16,30,59,12
132,unloading baggage,11,136,1,4,1,0,16,30,59,12
133,cleaning cabin,13,137,2,1,1,0,16,30,59,12
134,catering,11,137,3,2,1,30,16,30,59,12
135,fuelling,9,137,4,3,1,30,16,30,59,12
136,loading baggage,12,138,1,4,1,0,16,30,59,12
137,boarding,9,138,0,4,0,0,16,30,59,12
138,push-back,4,,7,1,1,0,16,30,59,12
139,deboarding,8,"141,142,143",0,5,0,0,17,30,56,60
140,unloading baggage,24,146,1,5,1,0,17,30,56,60
141,cleaning cabin,18,147,2,2,1,0,17,30,56,60
142,catering,24,147,3,4,1,70,17,30,56,60
143,fuelling,13,147,4,2,1,70,17,30,56,60
144,change water,8,148,5,2,1,60,17,30,56,60
145,toilet services,10,148,6,5,1,30,17,30,56,60
146,loading baggage,18,148,1,5,1,0,17,30,56,60
147,boarding,19,148,0,5,0,0,17,30,56,60
148,push-back,4,,7,2,1,0,17,30,56,60
149,deboarding,7,"151,152,153",0,1,0,0,18,30,59,235
150,unloading baggage,10,154,1,1,1,0,18,30,59,235
151,cleaning cabin,13,155,2,5,1,0,18,30,59,235
152,catering,11,155,3,4,1,30,18,30,59,235
153,fuelling,8,155,4,5,1,30,18,30,59,235
154,loading baggage,13,156,1,1,1,0,18,30,59,235
155,boarding,11,156,0,1,0,0,18,30,59,235
156,push-back,4,,7,4,1,0,18,30,59,235
157,deboarding,7,"159,160,161",0,2,0,0,19,35,63,101
158,unloading baggage,7,162,1,2,1,0,19,35,63,101
159,cleaning cabin,8,163,2,3,1,0,19,35,63,101
160,catering,8,163,3,4,1,30,19,35,63,101
161,fuelling,8,163,4,2,1,30,19,35,63,101
162,loading baggage,8,164,1,2,1,0,19,35,63,101
163,boarding,7,164,0,2,0,0,19,35,63,101
164,push-back,4,,7,5,1,0,19,35,63,101
165,deboarding,13,"167,168,169",0,5,0,0,20,35,61,230
166,unloading baggage,22,172,1,5,1,0,20,35,61,230
167,cleaning cabin,16,173,2,1,1,0,20,35,61,230
