idOperation,operationName,operationDuration,successors,resourceType,SP,requiredResourceUnits,consumption,idTurnaround,SIBT/TIBT,SOBT/TOBT,idStand
1,deboarding,10,"3,4,5",0,5,0,0,1,0,52,5
2,unloading baggage,9,8,1,5,1,0,1,0,52,5
3,cleaning cabin,15,9,2,4,1,0,1,0,52,5
4,catering,22,9,3,1,1,70,1,0,52,5
5,fuelling,12,9,4,2,1,70,1,0,52,5
6,change water,7,10,5,2,1,40,1,0,52,5
7,toilet services,17,10,6,1,1,40,1,0,52,5
8,loading baggage,20,10,1,5,1,0,1,0,52,5
9,boarding,15,10,0,5,0,0,1,0,52,5
10,push-back,4,,7,5,1,0,1,0,52,5
11,deboarding,8,"13,14,15",0,5,0,0,2,0,28,182
12,unloading baggage,8,16,1,5,1,0,2,0,28,182
13,cleaning cabin,9,17,2,4,1,0,2,0,28,182
14,catering,8,17,3,4,1,30,2,0,28,182
15,fuelling,9,17,4,5,1,30,2,0,28,182
16,loading baggage,8,18,1,5,1,0,2,0,28,182
17,boarding,8,18,0,5,0,0,2,0,28,182
18,push-back,4,,7,4,1,0,2,0,28,182
19,deboarding,10,"21,22,23",0,5,0,0,3,0,52,234
20,unloading baggage,11,26,1,5,1,0,3,0,52,234
21,cleaning cabin,14,27,2,4,1,0,3,0,52,234
22,catering,18,27,3,5,1,50,3,0,52,234
23,fuelling,13,27,4,5,1,60,3,0,52,234
24,change water,6,28,5,4,1,20,3,0,52,234
25,toilet services,18,28,6,5,1,40,3,0,52,234
26,loading baggage,16,28,1,5,1,0,3,0,52,234
27,boarding,11,28,0,4,0,0,3,0,52,234
28,push-back,4,,7,4,1,0,3,0,52,234
29,deboarding,8,"31,32,33",0,5,0,0,4,0,28,125
30,unloading baggage,8,34,1,5,1,0,4,0,28,125
31,cleaning cabin,8,35,2,5,1,0,4,0,28,125
32,catering,8,35,3,5,1,30,4,0,28,125
33,fuelling,8,35,4,5,1,30,4,0,28,125
34,loading baggage,8,36,1,5,1,0,4,0,28,125
35,boarding,8,36,0,5,0,0,4,0,28,125
36,push-back,4,,7,4,1,0,4,0,28,125
37,deboarding,8,"39,40,41",0,0,0,0,5,5,33,162
38,unloading baggage,7,42,1,5,1,0,5,5,33,162
39,cleaning cabin,8,43,2,3,1,0,5,5,33,162
40,catering,8,43,3,4,1,30,5,5,33,162
41,fuelling,9,43,4,5,1,30,5,5,33,162
42,loading baggage,10,44,1,5,1,0,5,5,33,162
43,boarding,8,44,0,5,0,0,5,5,33,162
44,push-back,4,,7,2,1,0,5,5,33,162
45,deboarding,10,"47,48,49",0,4,0,0,6,5,57,41
46,unloading baggage,13,52,1,4,1,0,6,5,57,41
47,cleaning cabin,13,53,2,1,1,0,6,5,57,41
48,catering,21,53,3,2,1,50,6,5,57,41
49,fuelling,14,53,4,4,1,60,6,5,57,41
50,change water,10,54,5,4,1,60,6,5,57,41
51,toilet services,17,54,6,4,1,40,6,5,57,41
52,loading baggage,21,54,1,4,1,0,6,5,57,41
53,boarding,17,54,0,4,0,0,6,5,57,41
54,push-back,4,,7,5,1,0,6,5,57,41
55,deboarding,11,"57,58,59",0,5,0,0,7,5,57,167
56,unloading baggage,13,62,1,5,1,0,7,5,57,167
57,cleaning cabin,14,63,2,4,1,0,7,5,57,167
58,catering,21,63,3,5,1,50,7,5,57,167
59,fuelling,12,63,4,5,1,60,7,5,57,167
60,change water,11,64,5,4,1,60,7,5,57,167
61,toilet services,18,64,6,5,1,40,7,5,57,167
62,loading baggage,20,64,1,5,1,0,7,5,57,167
63,boarding,11,64,0,5,0,0,7,5,57,167
64,push-back,4,,7,5,1,0,7,5,57,167
65,deboarding,11,"67,68,69",0,3,0,0,8,15,41,66
66,unloading baggage,24,72,1,3,1,0,8,15,41,66
67,cleaning cabin,13,73,2,4,1,0,8,15,41,66
68,catering,19,73,3,1,1,50,8,15,41,66
69,fuelling,12,73,4,5,1,70,8,15,41,66
70,change water,7,74,5,5,1,40,8,15,41,66
71,toilet services,11,74,6,3,1,30,8,15,41,66
72,loading baggage,15,74,1,3,1,0,8,15,41,66
73,boarding,19,74,0,3,0,0,8,15,41,66
74,push-back,4,,7,5,1,0,8,15,41,66
75,deboarding,7,"77,78,79",0,3,0,0,9,15,43,96
76,unloading baggage,9,80,1,3,1,0,9,15,43,96
77,cleaning cabin,7,81,2,4,1,0,9,15,43,96
78,catering,7,81,3,4,1,20,9,15,43,96
79,fuelling,8,81,4,4,1,30,9,15,43,96
80,loading baggage,8,82,1,3,1,0,9,15,43,96
81,boarding,9,82,0,3,0,0,9,15,43,96
82,push-back,4,,7,5,1,0,9,15,43,96
83,deboarding,11,"85,86,87",0,3,0,0,10,15,41,170
84,unloading baggage,22,90,1,3,1,0,10,15,41,170
85,cleaning cabin,16,91,2,5,1,0,10,15,41,170
86,catering,22,91,3,2,1,70,10,15,41,170
87,fuelling,13,91,4,5,1,70,10,15,41,170
88,change water,6,92,5,4,1,20,10,15,41,170
89,toilet services,14,92,6,4,1,30,10,15,41,170
90,loading baggage,16,92,1,3,1,0,10,15,41,170
91,boarding,18,92,0,3,0,0,10,15,41,170
92,push-back,4,,7,4,1,0,10,15,41,170
93,deboarding,8,"95,96,97",0,5,0,0,11,20,49,261
94,unloading baggage,10,98,1,5,1,0,11,20,49,261
95,cleaning cabin,13,99,2,1,1,0,11,20,49,261
96,catering,11,99,3,4,1,30,11,20,49,261
97,fuelling,9,99,4,1,1,30,11,20,49,261
98,loading baggage,13,100,1,5,1,0,11,20,49,261
99,boarding,10,100,0,5,0,0,11,20,49,261
100,push-back,4,,7,5,1,0,11,20,49,261
101,deboarding,7,"103,104,105",0,5,0,0,12,20,49,16
102,unloading baggage,11,106,1,3,1,0,12,20,49,16
103,cleaning cabin,12,107,2,3,1,0,12,20,49,16
104,catering,13,107,3,5,1,30,12,20,49,16
105,fuelling,7,107,4,4,1,30,12,20,49,16
106,loading baggage,11,108,1,3,1,0,12,20,49,16
107,boarding,10,108,0,3,0,0,12,20,49,16
108,push-back,4,,7,5,1,0,12,20,49,16
109,deboarding,7,"111,112,113",0,4,0,0,13,20,49,105
110,unloading baggage,11,114,1,4,1,0,13,20,49,105
111,cleaning cabin,12,115,2,5,1,0,13,20,49,105
112,catering,13,115,3,5,1,30,13,20,49,105
113,fuelling,7,115,4,4,1,30,13,20,49,105
114,loading baggage,12,116,1,4,1,0,13,20,49,105
115,boarding,11,116,0,4,0,0,13,20,49,105
116,push-back,4,,7,3,1,0,13,20,49,105
117,deboarding,7,"119,120,121",0,5,0,0,14,20,48,192
118,unloading baggage,7,122,1,5,1,0,14,20,48,192
119,cleaning cabin,9,123,2,5,1,0,14,20,48,192
120,catering,9,123,3,5,1,30,14,20,48,192
121,fuelling,8,123,4,1,1,30,14,20,48,192
122,loading baggage,9,124,1,5,1,0,14,20,48,192
123,boarding,9,124,0,5,0,0,14,20,48,192
124,push-back,4,,7,4,1,0,14,20,48,192
125,deboarding,7,"127,128,129",0,3,0,0,15,20,48,8
126,unloading baggage,8,130,1,3,1,0,15,20,48,8
127,cleaning cabin,7,131,2,5,1,0,15,20,48,8
128,catering,8,131,3,4,1,30,15,20,48,8
129,fuelling,7,131,4,4,1,30,15,20,48,8
130,loading baggage,9,132,1,3,1,0,15,20,48,8
131,boarding,9,132,0,3,0,0,15,20,48,8
132,push-back,4,,7,5,1,0,15,20,48,8
133,deboarding,12,"135,136,137",0,3,0,0,16,20,46,178
134,unloading baggage,25,140,1,3,1,0,16,20,46,178
135,cleaning cabin,19,141,2,2,1,0,16,20,46,178
136,catering,24,141,3,5,1,70,16,20,46,178
137,fuelling,12,141,4,5,1,60,16,20,46,178
138,change water,7,142,5,5,1,40,16,20,46,178
139,toilet services,14,142,6,5,1,30,16,20,46,178
140,loading baggage,15,142,1,3,1,0,16,20,46,178
141,boarding,25,142,0,3,0,0,16,20,46,178
142,push-back,4,,7,2,1,0,16,20,46,178
143,deboarding,12,"145,146,147",0,5,0,0,17,25,77,187
144,unloading baggage,11,150,1,5,1,0,17,25,77,187
145,cleaning cabin,17,151,2,4,1,0,17,25,77,187
146,catering,23,151,3,4,1,70,17,25,77,187
147,fuelling,16,151,4,1,1,70,17,25,77,187
148,change water,11,152,5,4,1,60,17,25,77,187
149,toilet services,15,152,6,5,1,30,17,25,77,187
150,loading baggage,17,152,1,5,1,0,17,25,77,187
151,boarding,11,152,0,5,0,0,17,25,77,187
152,push-back,4,,7,5,1,0,17,25,77,187
153,deboarding,13,"155,156,157",0,0,0,0,18,25,77,132
154,unloading baggage,9,160,1,5,1,0,18,25,77,132
155,cleaning cabin,15,161,2,5,1,0,18,25,77,132
