idOperation,operationName,operationDuration,successors,resourceType,SP,requiredResourceUnits,consumption,idTurnaround,SIBT/TIBT,SOBT/TOBT,idStand
1,deboarding,8,"3,4,5",0,4,0,0,1,5,34,138
2,unloading baggage,9,6,1,4,1,0,1,5,34,138
3,cleaning cabin,13,7,2,3,1,0,1,5,34,138
4,catering,12,7,3,2,1,40,1,5,34,138
5,fuelling,7,7,4,3,1,30,1,5,34,138
6,loading baggage,11,8,1,4,1,0,1,5,34,138
7,boarding,9,8,0,4,0,0,1,5,34,138
8,push-back,4,,7,1,1,0,1,5,34,138
9,deboarding,7,"11,12,13",0,1,0,0,2,5,34,199
10,unloading baggage,11,14,1,1,1,0,2,5,34,199
11,cleaning cabin,11,15,2,4,1,0,2,5,34,199
12,catering,11,15,3,3,1,40,2,5,34,199
13,fuelling,9,15,4,4,1,30,2,5,34,199
14,loading baggage,11,16,1,1,1,0,2,5,34,199
15,boarding,10,16,0,1,0,0,2,5,34,199
16,push-back,4,,7,5,1,0,2,5,34,199
17,deboarding,13,"19,20,21",0,5,0,0,3,10,62,80
18,unloading baggage,13,24,1,5,1,0,3,10,62,80
19,cleaning cabin,13,25,2,3,1,0,3,10,62,80
20,catering,23,25,3,2,1,70,3,10,62,80
21,fuelling,16,25,4,5,1,60,3,10,62,80
22,change water,9,26,5,4,1,80,3,10,62,80
23,toilet services,16,26,6,4,1,40,3,10,62,80
24,loading baggage,16,26,1,5,1,0,3,10,62,80
25,boarding,14,26,0,5,0,0,3,10,62,80
26,push-back,4,,7,4,1,0,3,10,62,80
27,deboarding,10,"29,30,31",0,3,0,0,4,10,36,218
28,unloading baggage,19,34,1,3,1,0,4,10,36,218
29,cleaning cabin,18,35,2,5,1,0,4,10,36,218
30,catering,16,35,3,4,1,40,4,10,36,218
31,fuelling,12,35,4,1,1,40,4,10,36,218
32,change water,5,36,5,1,1,40,4,10,36,218
33,toilet services,13,36,6,2,1,30,4,10,36,218
34,loading baggage,13,36,1,3,1,0,4,10,36,218
35,boarding,20,36,0,3,0,0,4,10,36,218
36,push-back,4,,7,4,1,0,4,10,36,218
37,deboarding,7,"39,40,41",0,2,0,0,5,15,43,229
38,unloading baggage,8,42,1,2,1,0,5,15,43,229
39,cleaning cabin,7,43,2,5,1,0,5,15,43,229
40,catering,8,43,3,1,1,20,5,15,43,229
41,fuelling,8,43,4,1,1,30,5,15,43,229
42,loading baggage,9,44,1,2,1,0,5,15,43,229
43,boarding,7,44,0,2,0,0,5,15,43,229
44,push-back,4,,7,3,1,0,5,15,43,229
45,deboarding,7,"47,48,49",0,5,0,0,6,15,43,22
46,unloading baggage,8,50,1,5,1,0,6,15,43,22
47,cleaning cabin,9,51,2,2,1,0,6,15,43,22
48,catering,8,51,3,2,1,20,6,15,43,22
49,fuelling,7,51,4,4,1,30,6,15,43,22
50,loading baggage,10,52,1,5,1,0,6,15,43,22
51,boarding,9,52,0,5,0,0,6,15,43,22
52,push-back,4,,7,5,1,0,6,15,43,22
53,deboarding,8,"55,56,57",0,4,0,0,7,20,48,43
54,unloading baggage,9,58,1,4,1,0,7,20,48,43
55,cleaning cabin,7,59,2,1,1,0,7,20,48,43
